YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,PRECTOTCORR
1981,7,3,9.57,19.85,13.42,0.74
1981,7,4,8.57,19.77,12.78,0.02
1981,7,5,8.66,20.13,13.15,0.01
1981,7,6,7.0,19.99,12.31,0.0
1981,7,7,7.19,20.57,12.5,0.0
1981,7,8,7.23,21.37,12.97,0.01
1981,7,9,7.56,22.48,14.05,0.0
1981,7,10,9.33,23.14,15.39,0.0
1981,7,11,10.02,24.65,17.18,0.0
1981,7,12,10.69,25.42,18.53,0.0
1981,7,13,9.99,26.59,18.3,0.0
1981,7,14,9.51,26.93,17.53,0.0
1981,7,15,10.62,27.18,18.41,0.0
1981,7,16,9.95,26.88,18.14,0.0
1981,7,17,10.19,27.24,18.0,0.0
1981,7,18,12.97,22.72,16.66,0.28
1981,7,19,10.52,16.98,13.0,1.28
1981,7,20,5.12,15.03,11.25,0.33
1981,7,21,-0.4,18.21,7.87,0.0
1981,7,22,4.23,20.25,12.1,0.0
1981,7,23,8.98,19.41,13.49,0.03
1981,7,24,10.37,19.15,14.05,0.89
1981,7,25,10.94,16.55,13.25,0.77
1981,7,26,7.17,24.09,13.71,0.0
1981,7,27,6.62,24.59,13.91,0.03
1981,7,28,7.56,26.64,15.65,0.02
1981,7,29,7.97,26.9,16.46,0.0
1981,7,30,9.24,26.76,17.47,0.0
1981,7,31,11.25,25.49,17.74,0.0
1981,8,1,12.35,27.07,18.91,0.04
1981,8,2,9.39,27.7,17.62,0.03
1981,8,3,10.51,27.97,18.28,0.0
1981,8,4,11.42,29.14,19.37,0.0
1981,8,5,10.92,28.42,19.03,0.0
1981,8,6,10.58,28.7,18.73,0.0
1981,8,7,10.96,29.16,19.17,0.0
1981,8,8,10.3,28.66,19.73,0.0
1981,8,9,13.41,24.57,17.95,0.07
1981,8,10,12.56,24.31,16.97,0.39
1981,8,11,11.89,26.04,18.14,0.16
1981,8,12,14.57,28.97,21.06,0.47
1981,8,13,15.47,29.95,21.93,0.05
1981,8,14,12.56,26.67,18.83,0.53
1981,8,15,10.62,26.44,17.26,0.05
1981,8,16,10.98,28.45,17.91,0.0
1981,8,17,13.21,29.8,19.57,0.53
1981,8,18,13.74,24.39,18.39,2.8
1981,8,19,10.27,25.24,16.56,1.49
1981,8,20,8.38,23.93,14.55,0.0
1981,8,21,7.73,25.17,14.75,0.0
1981,8,22,8.35,25.85,16.11,0.0
1981,8,23,8.71,27.21,17.12,0.0
1981,8,24,11.36,29.22,19.59,0.01
1981,8,25,11.77,30.37,20.64,0.03
1981,8,26,12.1,31.5,20.96,0.0
1981,8,27,13.62,32.59,22.95,0.0
1981,8,28,12.93,32.8,22.83,0.0
1981,8,29,14.53,33.07,22.41,0.0
1981,8,30,14.8,32.63,22.54,0.0
1981,8,31,13.8,25.69,18.72,0.0
1981,9,1,11.62,28.1,18.5,0.03
1981,9,2,13.0,32.53,21.63,0.01
1981,9,3,19.0,33.01,24.76,0.79
1981,9,4,17.22,32.13,24.29,0.0
1981,9,5,10.59,26.31,18.05,0.01
1981,9,6,11.61,26.84,18.02,0.0
1981,9,7,10.83,31.89,19.77,0.0
1981,9,8,12.61,32.54,21.19,0.0
1981,9,9,12.64,32.38,21.8,0.01
1981,9,10,11.85,33.69,22.16,0.0
1981,9,11,11.68,34.82,22.49,0.0
1981,9,12,13.14,34.71,23.47,0.0
1981,9,13,12.89,35.59,24.12,0.0
1981,9,14,13.79,35.61,24.47,0.0
1981,9,15,14.17,32.43,23.32,0.0
1981,9,16,14.41,26.02,19.24,0.0
1981,9,17,10.18,33.01,20.43,0.0
1981,9,18,14.49,34.93,24.62,0.0
1981,9,19,17.36,36.38,26.08,0.01
1981,9,20,18.82,37.25,26.95,0.0
1981,9,21,16.83,36.5,26.46,0.0
1981,9,22,16.85,34.15,23.68,0.29
1981,9,23,16.02,34.44,23.85,0.29
1981,9,24,18.15,32.69,24.85,0.14
1981,9,25,15.75,32.65,23.44,6.94
1981,9,26,18.09,29.41,23.2,2.36
1981,9,27,17.08,33.73,25.11,0.12
1981,9,28,16.56,36.42,26.43,0.25
1981,9,29,20.96,36.66,28.02,0.36
1981,9,30,14.31,23.59,17.53,0.21
1981,10,1,11.04,27.24,17.29,0.35
1981,10,2,11.02,29.96,19.74,7.76
1981,10,3,17.27,28.75,22.61,9.25
1981,10,4,17.71,31.47,24.0,2.12
1981,10,5,18.7,32.36,24.7,6.08
1981,10,6,18.76,34.0,25.4,15.35
1981,10,7,19.58,28.0,23.02,9.59
1981,10,8,17.13,27.82,21.75,0.9
